product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
1.0,1.0,7.0,Ayakkabı,Ayakkabı,Outdoor Ayakkabı,0,2023-01-30,160,1874.6125490196077,1850.93,0.0022049645799263108,0.002122170256026653
2.0,94.0,77.0,Giyim,Pantolon,Jean,2,2024-02-26,160,740.0191904761906,709.05,0.03922245481487345,0.04527747926435543
1.0,924.0,10.0,Ayakkabı,Terlik & Sandalet,Sandalet,0,2023-06-12,160,902.9375581395348,641.665,0.016478531876503225,0.010929137816041216
1.0,924.0,9.0,Ayakkabı,Terlik & Sandalet,Terlik,3,2025-05-19,160,2015.4632291666667,1880.91,0.001185302903991274,0.00039098865624175597
1.0,1.0,4.0,Ayakkabı,Ayakkabı,Halı Saha Ayakkabısı,0,2024-04-08,160,1513.3903658536587,1753.64,0.015554753258340156,0.005853585192787298
2.0,26.0,12.0,Giyim,Ceket,Ceket,3,2024-10-28,160,1464.5170238095238,1336.6599999999999,0.012254932086811846,0.011640696896973208
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,1,2024-06-10,160,1533.82125,1545.45,0.022657466247795514,0.01978065835087315
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2024-10-14,160,1203.3549999999998,1227.26,0.020784415731031354,0.018677763854303597
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,1,2024-04-01,160,540.6933750000001,454.54,0.07065513253874242,0.0633151375983882
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2023-12-18,160,673.09275,589.99,0.0568308218775232,0.04838080022903576
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,2,2024-04-22,160,483.0686416184971,520.33,0.041959441688073806,0.07609503754798821
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,1,2024-04-29,160,1030.71625,890.9,0.038121684293395484,0.03468583590971546
1.0,1.0,5.0,Ayakkabı,Ayakkabı,Basketbol Ayakkabısı,2,2024-11-04,160,2146.505317919075,2043.0,0.015170223681472991,0.015281839740496846
2.0,920.0,11.0,Giyim,Atlet,Atlet,1,2024-07-29,160,196.86525,227.26,0.3442701518802337,0.23035560373445485
2.0,920.0,11.0,Giyim,Atlet,Atlet,1,2024-08-12,160,175.56,227.26,0.37021819242278103,0.2577422655450633
2.0,26.0,12.0,Giyim,Ceket,Ceket,1,2024-09-16,160,830.7043749999999,863.63,0.048030984625425155,0.04243598874778877
1.0,1.0,5.0,Ayakkabı,Ayakkabı,Basketbol Ayakkabısı,0,2023-11-06,160,1749.9727272727273,1817.27,0.005044191480106885,0.0052071082138575985
